key;category;term;genus;ref
die Strecke zurücklegen;expression;die Strecke zurücklegen;;
die Treppe hinunterfallen;verbe;die Treppe hinunterfallen;;
durch Paris fahren;expression;durch Paris fahren;;
ein Material zurückhalten;verbe;ein Material zurückhalten;;
eine Antwort hinterfragen;verbe;eine Antwort hinterfragen;;
eine Feststellung machen;expression;eine Feststellung machen;;
eine Leidenschaft hat mich gepackt;expression;eine Leidenschaft hat mich gepackt;;
eine Studie durchsehen;travail;eine Studie durchsehen;;
eineiige Zwillinge;nom;eineiige Zwillinge;mpl;
einen Bedarf decken;expression;einen Bedarf decken;;
einen Konflikt lösen;expression;einen Konflikt lösen;;
einer Versuchung erliegen;expression;einer Versuchung erliegen;;
ekelhaft;adjectif;ekelhaft;;
emotional;adjectif;emotional;;
enden;expression;enden;;
entsperren;verbe;entsperren;;
entweichen;verbe;entweichen;;
erfreulich;adjectif;erfreulich;;
erfüllen / ausgleichen;verbe;erfüllen / ausgleichen;;
ermüdend;adjectif;ermüdend;;
erreichen;verbe;erreichen;;
erwähnen, ins Gedächtnis rufen;verbe;erwähnen, ins Gedächtnis rufen;;
erziehen;verbe;erziehen;;
etw. auf die Probe stellen;expression;etw. auf die Probe stellen;;
etw. bei sich haben;expression;etw. bei sich haben;;
etw. desinfizieren;verbe;etw. desinfizieren;;
etw. entfernen / wegnehmen;verbe;etw. entfernen / wegnehmen;;
etw. erkennen / unterscheiden;verbe;etw. erkennen / unterscheiden;;
etw. fortbestehen lassen;expression;etw. fortbestehen lassen;;
etw. knüpfen;verbe;etw. knüpfen;;
etw. leugnen;expression;etw. leugnen;;
etw. loswerden;verbe;etw. loswerden;;
etw. vergessen;verbe;etw. vergessen;;
etw. verwechseln;verbe;etw. verwechseln;;
fahren;verbe;fahren;;
feilschen;verbe;feilschen;;
fern, entfernt;adjectif;fern, entfernt;;
festnehmen / stellen;verbe;festnehmen / stellen;;
fieberhaft;adjectif;fieberhaft;;
flüssig (Verkehr);adjectif;flüssig (Verkehr);;
flüstern;verbe;flüstern;;
frech, respektlos;adjectif;frech, respektlos;;
frühgeboren sein;expression;frühgeboren sein;;
fällen;verbe;fällen;;
gefrieren;verbe;gefrieren;;
gegenseitige Hilfe;nom;gegenseitige Hilfe;f;
gehemmt;adjectif;gehemmt;;
gehört haben, dass;expression;gehört haben, dass;;
genervt sein;verbe;genervt sein;;
gerade (Zahl);adjectif;gerade (Zahl);;
gesellschaftlich zurückgezogen;adjectif;gesellschaftlich zurückgezogen;;
gleich;adjectif;gleich;;
griechisch;adjectif;griechisch;;
gut gelaunt / fröhlich;adjectif;gut gelaunt / fröhlich;;
günstiger;adjectif;günstiger;;
handwerklich;adjectif;handwerklich;;
heftige Diskussion;expression;heftige Diskussion;;
heilen;verbe;heilen;;
hemmungslos;adjectif;hemmungslos;;
herumhängen;verbe;herumhängen;;
herumschleichen;verbe;herumschleichen;;
hupen;verbe;hupen;;
ich bin dorthin gegangen;phrase;ich bin dorthin gegangen;;
ihm gegenüber;expression;ihm gegenüber;;
ihr wart / Sie waren;verbe;ihr wart / Sie waren;;
im Lauf der Jahre;expression;im Lauf der Jahre;;
im Oktober;expression;im Oktober;;
im Zentrum;expression;im Zentrum;;
im Überfluss;expression;im Überfluss;;
in Bayern;expression;in Bayern;;
in Griechenland;expression;in Griechenland;;
in Kraft;adjectif;in Kraft;;
in Kroatien;expression;in Kroatien;;
jedoch;adverbe;jedoch;;
jmdm. begegnen;verbe;jmdm. begegnen;;
jmdn. anschreien;expression;jmdn. anschreien;;
jmdn. verwöhnen;verbe;jmdn. verwöhnen;;
kaum;expression;kaum;;
kein / viel von;expression;kein / viel von;;
kein Blatt vor den Mund nehmen;expression;kein Blatt vor den Mund nehmen;;
keltisch;adjectif;keltisch;;
krank spielen;expression;krank spielen;;
landen;verbe;landen;;
langsamer werden;verbe;langsamer werden;;
learning by doing;expression;learning by doing;;
leicht;adjectif;leicht;;
leidenschaftlich;expression;leidenschaftlich;;
leitende Angestellte;nom;leitende Angestellte;m;
liefern;verbe;liefern;;
mal so, mal so;adverbe;mal so, mal so;;
mehr von;expression;mehr von;;
mit dem Flugzeug fliegen;expression;mit dem Flugzeug fliegen;;
mitbringen;verbe;mitbringen;;
nach Paris hineinfahren;expression;nach Paris hineinfahren;;
nachdrückliche Meinung;nom;nachdrückliche Meinung;f;
nachsichtig;adjectif;nachsichtig;;
neblig;adjectif;neblig;;
noch bevor + verb;expression;noch bevor + verb;;
offen / ehrlich;adjectif;offen / ehrlich;;
ohne Skipass;expression;ohne Skipass;;
petzen;verbe;petzen;;
pflegen / unterhalten;verbe;pflegen / unterhalten;;
plötzlich;adverbe;plötzlich;;
polieren;verbe;polieren;;
rebellisch;adjectif;rebellisch;;
renoviert werden;expression;renoviert werden;;
roh, naturbelassen, trocken;adjectif;roh, naturbelassen, trocken;;
rosten;verbe;rosten;;
scherzen;verbe;scherzen;;
schimpfen;verbe;schimpfen;;
schlecht drauf sein;expression;schlecht drauf sein;;
schlendern;verbe;schlendern;;
schmelzen;verbe;schmelzen;;
schwer;adjectif;schwer;;
schwer darauf verzichten können;expression;schwer darauf verzichten können;;
schwer, hart;adjectif;schwer, hart;;
sein Blick hellt sich auf;expression;sein Blick hellt sich auf;;
sich anmelden;verbe;sich anmelden;;
sich einen Platz erkämpfen;expression;sich einen Platz erkämpfen;;
sich empören;verbe;sich empören;;
sich gut mit jmdm. verstehen;expression;sich gut mit jmdm. verstehen;;
sich im Erwachsenenalter annähern;expression;sich im Erwachsenenalter annähern;;
sich niederlassen;verbe;sich niederlassen;;
sich schlecht mit jmdm. verstehen;expression;sich schlecht mit jmdm. verstehen;;
sich streiten;verbe;sich streiten;;
sich unterhalten;verbe;sich unterhalten;;
sich verbreiten;verbe;sich verbreiten;;
sich wieder fangen;verbe;sich wieder fangen;;
skandinavisch;adjectif;skandinavisch;;
sobald;expression;sobald;;
speichern;verbe;speichern;;
starten;verbe;starten;;
stattfinden / verlaufen;verbe;stattfinden / verlaufen;;
strahlend;adjectif;strahlend;;
ständig über etw. nachdenken;expression;ständig über etw. nachdenken;;
trocken;adjectif;trocken;;
trotzdem / dennoch;expression;trotzdem / dennoch;;
ungerade (Zahl);adjectif;ungerade (Zahl);;
ungewöhnlich;adjectif;ungewöhnlich;;
unsicher (emotional);adjectif;unsicher (emotional);;
unsicher (körperlich);adjectif;unsicher (körperlich);;
unterstützen;verbe;unterstützen;;
unwillkürlich;expression;unwillkürlich;;
verbergen / tarnen;verbe;verbergen / tarnen;;
verdrängen;verbe;verdrängen;;
vergrößern;verbe;vergrößern;;
vernachlässigbar;adjectif;vernachlässigbar;;
versammeln;verbe;versammeln;;
verschönern;verbe;verschönern;;
verstreuen / verbreiten;verbe;verstreuen / verbreiten;;
vertrauliche Geständnis;nom;vertrauliche Geständnis;n;
verwendbar;adjectif;verwendbar;;
verärgert;adjectif;verärgert;;
voll;adverbe;voll;;
von früher;adverbe;von früher;;
wachsen;verbe;wachsen;;
wandern;verbe;wandern;;
weinbau-;adjectif;weinbau-;;
wenigstens;adverbe;wenigstens;;
wenn / damit;expression;wenn / damit;;
willkommen sein;expression;willkommen sein;;
wirtschaftliche Bilanz;nom;wirtschaftliche Bilanz;f;
wohnen / bleiben;verbe;wohnen / bleiben;;
während;adverbe;während;;
zugeparkt / blockiert;adjectif;zugeparkt / blockiert;;
zur Fußgängerzone gemacht;adjectif;zur Fußgängerzone gemacht;;
zur Kur fahren;verbe;zur Kur fahren;;
zweieiige Zwillinge;nom;zweieiige Zwillinge;mpl;
zögern, etw. zu tun;verbe;zögern, etw. zu tun;;
Ältester;nom;Ältester;m;
Überschwemmung;nom;Überschwemmung;f;
ästhetisch;adjectif;ästhetisch;;
über das Jahr verteilen;expression;über das Jahr verteilen;;
über die Ringstraße fahren;expression;über die Ringstraße fahren;;
über die Ufer treten;verbe;über die Ufer treten;;
über eine Vermittlung;expression;über eine Vermittlung;;
überfahren;verbe;überfahren;;
überfordert sein;verbe;überfordert sein;;
überfüllt;adjectif;überfüllt;;
übergangsweise;expression;übergangsweise;;
überholen;verbe;überholen;;
